,word1,word2,prediction
211,black,market,-0.8077672123908997
212,black,paint,-0.29497140645980835
213,black,purple,-0.057083725929260254
214,black,seat,-0.642268031835556
215,black,skirt,-0.07621586322784424
216,black,stripe,-0.09318852424621582
217,black,white,-0.05264848470687866
218,blanket,covering,-0.2639288902282715
219,blast,smashing,-0.31084144115448
220,bleach,white,-0.5712358355522156
221,blessing,deal,-0.3460482954978943
222,blessing,patronage,-0.24744248390197754
223,blonde,dark,-0.24008071422576904
224,blonde,girl,-0.09475457668304443
225,blonde,hair,-0.26093536615371704
226,blonde,redhead,-0.06626927852630615
227,blonde,wig,-0.13182002305984497
228,bloom,foliage,-0.2411918044090271
229,bloom,friend,-0.48956364393234253
230,bloom,glittering,-0.41563910245895386
231,bloom,plant,-0.546732097864151
232,blossom,fruit,-0.3410632014274597
233,blossom,purple,-0.22782307863235474
234,blow,contact,-0.7484519481658936
235,blue,color,-0.2141662836074829
236,blue,grey,-0.1718510389328003
237,blue,shade,-0.13400012254714966
238,blue,yellow,-0.03544914722442627
239,blues,rhythm,-0.19959551095962524
240,blur,eye,-0.32761484384536743
241,blur,metro,-0.681842178106308
242,board,commission,-0.07349938154220581
243,board,recommendation,-0.18141597509384155
244,boast,complain,-0.5198950469493866
245,boast,explain,-0.6906130909919739
246,boat,ferry,-0.04128706455230713
247,boat,negro,-0.5661351978778839
248,boat,vessel,-0.05378556251525879
249,body,registration,-0.6508035063743591
250,bone,skull,-0.1393883228302002
251,book,copper,-0.9687610175460577
252,book,fair,-0.6406436264514923
253,book,fine,-0.544631689786911
254,book,open,-0.9055359363555908
255,book,smoking,-0.717378169298172
256,boot,punch,-0.24928462505340576
257,born,live,-0.49323999881744385
258,born,play,-0.8921913355588913
259,born,son,-0.24394440650939941
260,born,subway,-0.9133873879909515
261,bottle,glass,-0.31584876775741577
262,bottle,wine,-0.1808052659034729
263,bounce,bounced,-0.2688830494880676
264,bounce,swing,-0.15909922122955322
265,box,return,-0.8810150474309921
266,boxer,lighthouse,-0.6358906328678131
267,boy,hand,-0.4643310308456421
268,boy,live,-0.4096061587333679
269,boy,male,-0.23092108964920044
270,brace,stand,-0.4609648585319519
271,branch,lego,-0.4704325199127197
272,branch,limb,-0.731123149394989
273,branch,president,-0.5152296721935272
274,brandy,difficulty,-0.7524720430374146
275,brass,executive,-0.792647123336792
276,bread,cover,-0.49036604166030884
277,bread,dessert,-0.07869714498519897
278,bread,ocean,-0.8272850513458252
279,bread,salad,-0.02016127109527588
280,bread,sandwich,-0.05349898338317871
281,break,scattered,-0.7557506263256073
282,breakfast,restaurant,-0.16741394996643066
283,brick,cell,-0.691579282283783
284,brick,concrete,-0.11464804410934448
285,brick,construction,-0.6472013294696808
286,brick,house,-0.26832109689712524
287,brick,porch,-0.14671063423156738
288,brick,rabbit,-0.6065681278705597
289,brick,skyscraper,-0.16225355863571167
290,brick,staircase,-0.05977588891983032
291,brick,wall,-0.15083378553390503
292,bride,dress,-0.27721256017684937
293,bright,dark,-0.04343843460083008
294,bright,glittering,-0.17144429683685303
295,bright,grey,-0.18404924869537354
296,bright,red,-0.09426850080490112
297,bright,sky,-0.27369147539138794
298,bright,sun,-0.3353049159049988
299,broadcast,packet,-0.5187573432922363
300,brochure,reference,-0.23572653532028198
301,brokerage,politics,-0.8857123553752899
302,bronze,sculpture,-0.39449048042297363
303,brother,member,-0.4197806715965271
304,brown,feather,-0.38971686363220215
305,brown,grey,-0.14854562282562256
306,brown,insect,-0.7115031778812408
307,brown,purple,-0.3901737332344055
308,brown,violet,-0.24873876571655273
309,brush,implement,-0.8309390991926193
310,bubble,surface,-0.3318905234336853
311,buck,horse,-0.33732742071151733
312,bucket,duck,-0.4410035014152527
313,bucket,girl,-0.6211536228656769
314,bud,foliage,-0.6573685705661774
315,bud,shade,-0.5120004117488861
316,budget,scale,-0.372211754322052
317,build,flesh,-0.8620294779539108
318,building,cafe,-0.42111027240753174
319,building,construction,-0.22877252101898193
320,building,floor,-0.24993151426315308
321,building,interior,-0.33160316944122314
322,building,sandwich,-0.8608445674180984
323,building,sidewalk,-0.22644352912902832
324,building,zombie,-0.8032869696617126
325,bulgarian,nurse,-0.5215506255626678
326,bulletin,news,-0.18419528007507324
327,bundle,deceive,-0.6752301156520844
328,burger,eat,-0.21102535724639893
329,burger,frozen,-0.19294261932373047
330,burger,mac,-0.36488425731658936
331,burger,sandwich,-0.07194048166275024
332,burn,reading,-0.5960500538349152
333,burnt,treated,-0.6945217251777649
334,bury,hide,-0.23389452695846558
335,bus,subway,-0.040419578552246094
336,butterfly,insect,-0.35025888681411743
337,butterfly,stadium,-0.6225241422653198
338,button,police,-0.8708636462688446
339,cafe,dinner,-0.2410992980003357
340,cafe,frog,-0.4967479109764099
341,cafe,lunch,-0.22216367721557617
342,cafe,relax,-0.6277724802494049
343,cake,library,-0.8814993649721146
344,calendar,system,-0.6602031290531158
345,call,meeting,-0.6354099214076996
346,call,statement,-0.440921425819397
347,cambridge,harvard,-0.1698920726776123
348,camel,highway,-0.5225196480751038
349,camel,outdoor,-0.5757862627506256
350,camera,painting,-0.44405680894851685
351,camera,photography,-0.4047582745552063
352,camp,camp,-0.0
353,camping,pitch,-0.5910874009132385
354,can,mill,-0.8665463328361511
355,canal,coffee,-0.7280867695808411
356,canal,number,-0.8249226063489914
357,candy,sweet,-0.20949864387512207
358,canine,dog,-0.26735424995422363
359,canyon,pizza,-0.7378030121326447
360,canyon,river,-0.029484689235687256
361,capital,seed,-0.8207308202981949
362,captain,officer,-0.12271511554718018
363,car,hawk,-0.2790799140930176
364,car,limousine,-0.13648778200149536
365,car,tongue,-0.6354657411575317
366,card,party,-0.7870244383811951
367,card,plastic,-0.571732223033905
368,cardinal,village,-0.6909162998199463
369,carnivore,predator,-0.23686861991882324
370,carriage,coach,-0.8744333535432816
371,carrot,city,-1.0491719990968704
372,carrot,design,-0.9128530919551849
373,carrot,fruit,-0.07508254051208496
374,carrot,memorial,-0.9353668838739395
375,cartoon,wit,-0.280783474445343
376,case,luggage,-0.6685417294502258
377,cash,credit,-0.05945158004760742
378,cast,gathering,-0.6300225257873535
379,cat,garden,-0.5543619394302368
380,cat,jaguar,-0.39905935525894165
381,cat,licking,-0.1444522738456726
382,catering,loan,-0.6396549344062805
383,cd,stock,-0.7315628528594971
384,ceiling,door,-0.20326733589172363
385,ceiling,floor,-0.06302142143249512
386,ceiling,mug,-0.6301584243774414
387,ceiling,porch,-0.18428999185562134
388,cell,membrane,-0.146958589553833
389,cemetery,cone,-0.7586572468280792
390,cemetery,graveyard,-0.14027148485183716
391,ceramic,live,-0.7482050657272339
392,ceramic,ocean,-0.6590266227722168
393,chair,rocker,-0.39946413040161133
394,chance,fortune,-0.7679425179958344
395,change,change,-0.0
396,change,energized,-0.4404420852661133
397,change,move,-0.40710532665252686
398,change,yielding,-0.5084645748138428
399,channel,sound,-0.40989577770233154
400,chapel,church,-0.15767568349838257
401,characteristic,nature,-0.18926209211349487
402,charge,sentence,-0.16503125429153442
403,check,draft,-0.37028050422668457
404,cheer,musician,-0.4307158589363098
405,chef,paris,-0.6316375732421875
406,chemical,salt,-0.6643293797969818
407,chemistry,claim,-0.8684275448322296
408,cherry,dessert,-0.14649730920791626
409,cherry,fruit,-0.07855403423309326
410,cherry,peel,-0.16431814432144165
411,cherry,vine,-0.15244096517562866
412,chess,family,-0.5386692583560944
413,chicken,lamb,-0.010714232921600342
414,chicken,pepper,-0.1061277985572815
415,chicken,rice,-0.03992527723312378
416,chicken,rooster,-0.4558085799217224
417,chicken,star,-0.8011943250894547
418,child,fun,-0.6888604462146759
419,chocolate,dessert,-0.0646742582321167
420,chooses,compare,-0.36793023347854614
421,chopper,window,-0.4150218367576599
422,christmas,valentine,-0.4899827837944031
423,chuck,jaw,-0.7757664620876312
424,church,graveyard,-0.31655532121658325
425,church,porch,-0.39680761098861694
426,church,soldier,-0.548658698797226
427,cigarette,skating,-0.8959393501281738
428,circle,oval,-0.1246679425239563
429,circle,wig,-0.3925034999847412
430,circulation,circulation,-0.0
431,citation,citation,-0.0
432,city,downtown,-0.13625246286392212
433,city,kansas,-0.3271893858909607
434,city,live,-0.803258940577507
435,city,ruin,-0.8354363739490509
436,city,skyline,-0.3627259135246277
437,city,small,-0.7108918130397797
438,city,town,-0.07545167207717896
439,clean,remove,-0.29642462730407715
440,clear,clear,-0.0
441,clients,guest,-0.6176319420337677
442,cliff,sand,-0.3200035095214844
443,clock,stripe,-0.5128703415393829
444,closed,up,-0.6580585241317749
445,closing,closing,-0.0
446,closing,finale,-0.6208679378032684
447,cloud,energy,-0.7682576328516006
448,cloud,mist,-0.09608149528503418
449,cloud,misty,-0.20553261041641235
450,cloud,sunny,-0.37504637241363525
451,clown,flood,-0.878555417060852
452,club,cone,-0.6133768856525421
453,club,match,-0.31649529933929443
454,club,play,-0.4219619035720825
455,club,sign,-0.9154850095510483
456,coast,downtown,-0.3992181420326233
457,coast,glide,-0.48533034324645996
458,coast,lay,-0.9373622909188271
459,coast,slope,-0.390769898891449
460,cock,penis,-0.21377277374267578
461,cocktail,garage,-0.576946496963501
462,cocktail,restaurant,-0.3230992555618286
463,code,software,-0.42131251096725464
464,coffee,meeting,-1.116677150130272
465,coffee,sun,-0.624786913394928
466,coin,silver,-0.43952399492263794
467,coin,ticket,-0.39763396978378296
468,cold,dripping,-0.27116817235946655
469,cold,ear,-0.4390934109687805
470,cold,hot,-0.14575648307800293
471,cold,puddle,-0.25711148977279663
472,cold,washing,-0.37707507610321045
473,cold,weather,-0.3331037759780884
474,collect,collect,-0.0
475,collection,data,-0.5955203473567963
476,collection,packet,-0.5907419621944427
477,collection,work,-0.7150139808654785
478,collision,smash,-0.5410920977592468
479,colony,depression,-0.9019389227032661
480,color,quality,-0.614537239074707
481,color,wine,-0.45928651094436646
482,color,yellow,-0.1376226544380188
483,colorful,frame,-0.4558355212211609
484,colour,grey,-0.37871086597442627
485,colour,red,-0.41815972328186035
486,colour,wild,-0.48391997814178467
487,combination,education,-0.6097390651702881
488,comfort,relief,-0.3383055329322815
489,commenting,note,-0.36084455251693726
490,commercial,manufacture,-0.22867423295974731
491,commissions,order,-0.32752156257629395
492,communication,tune,-0.6916969120502472
493,communications,tableware,-0.6574566066265106
494,communications,transmission,-0.1585521101951599
495,community,territory,-0.5016632378101349
496,commuter,scottish,-0.5332529246807098
497,comparison,scrutiny,-0.5382528007030487
498,compensation,offset,-0.46960127353668213
499,computer,lab,-0.32717597484588623
500,concert,sing,-0.24949949979782104
501,concerts,settle,-0.984954715706408
502,conclusion,conclusion,-0.0
503,concrete,construction,-0.5157467424869537
504,concrete,school,-0.9571748487651348
505,condition,health,-0.41592055559158325
506,cone,windmill,-0.43945789337158203
507,conference,lawyer,-0.8710255324840546
508,conservation,traveling,-0.720255047082901
509,construction,violet,-0.87444107234478
510,construction,window,-0.6213172674179077
511,consume,supply,-0.40120869874954224
512,consumer,energy,-0.15152472257614136
513,continent,ground,-0.5248242318630219
514,continue,keep,-0.24233847856521606
515,convertible,pipe,-0.5202646553516388
516,cook,printer,-0.7813962399959564
517,cooking,salad,-0.07772946357727051
518,cooking,soup,-0.07573771476745605
519,cool,cool,-0.0
520,cool,jazz,-0.4622093439102173
521,copy,image,-0.5254604518413544
522,copy,work,-0.7289599180221558
523,corridor,hall,-0.5004313290119171
524,cost,postage,-0.33642828464508057
525,costume,ocean,-0.7218151986598969
526,costume,radiation,-0.8851636499166489
527,costume,shirt,-0.20722132921218872
528,cottage,sleep,-0.7270942032337189
529,couch,lounge,-0.22723031044006348
530,couple,live,-0.34090709686279297
531,couple,makeup,-0.5658719539642334
532,couple,square,-0.6283842325210571
533,course,workshop,-0.6868237257003784
534,cousin,relation,-0.6494111120700836
535,cover,dot,-0.34679532051086426
536,covering,covering,-0.0
537,crab,manufacturer,-0.8626135438680649
538,cracking,cracking,-0.0
539,craft,soup,-0.7109281420707703
540,craft,trade,-0.5370008945465088
541,craft,van,-0.6013107597827911
542,crane,implement,-0.8412231206893921
543,crane,stair,-0.28743302822113037
544,crane,wild,-0.6464958786964417
545,crash,striking,-0.494432270526886
546,crash,swing,-0.6632586717605591
547,credit,credit,-0.0
548,credit,flap,-0.7129305899143219
549,credit,latin,-0.865553230047226
550,credit,man,-0.904194712638855
551,credit,money,-0.09999728202819824
552,credit,ovation,-0.817252978682518
553,credit,sum,-0.21600431203842163
554,crew,unit,-0.5534192323684692
555,criminal,possession,-0.2416033148765564
556,crochet,family,-0.728425145149231
557,crochet,stitch,-0.17175042629241943
558,cross,meet,-0.5814931392669678
559,cross,pub,-0.6076831817626953
560,cross,shopping,-0.6628532409667969
561,cross,tower,-0.3198418617248535
562,crystal,silhouette,-0.1916215419769287
563,crystal,spiral,-0.36756789684295654
564,cube,dice,-0.2451304793357849
565,cucumber,potato,-0.01303708553314209
566,cup,handbag,-0.9670197442173958
567,cup,shape,-0.7968498766422272
568,curl,licking,-0.0793800950050354
569,currency,exchange,-0.1569277048110962
570,curve,rainbow,-0.41690927743911743
571,customer,mission,-0.5862274765968323
572,cute,fun,-0.20660918951034546
573,cute,guy,-0.23495101928710938
574,cute,lady,-0.22126156091690063
575,cute,music,-0.6030671894550323
576,cutter,knife,-0.15340524911880493
577,cutting,nip,-0.575378030538559
578,dad,left,-0.7514203041791916
579,daisy,grass,-0.4489673972129822
580,daisy,violet,-0.12162333726882935
581,damned,people,-0.4569714665412903
582,dandelion,seed,-0.2660678029060364
583,dark,flamingo,-0.4986112117767334
584,dark,grey,-0.17763638496398926
585,dark,purple,-0.05695849657058716
586,dark,rusty,-0.4835391044616699
587,dark,yellow,-0.05436593294143677
588,dashboard,protection,-0.7011343240737915
589,database,list,-0.2926933765411377
590,dawn,drug,-0.8195026069879532
591,dawn,night,-0.22435367107391357
592,dawn,sun,-0.2277938723564148
593,day,sunny,-0.28003042936325073
594,dead,face,-0.6827720701694489
595,dead,hanging,-0.5644693672657013
596,deaf,people,-0.461121141910553
597,death,funeral,-0.4304465055465698
598,death,organic,-0.8343946933746338
599,death,texas,-1.0210065487772226
600,declare,promised,-0.1436815857887268
601,decoration,interior,-0.454454243183136
602,decoration,set,-0.517269641160965
603,decrease,increase,-0.06781375408172607
604,defeat,disappointment,-0.4591737389564514
605,defeated,people,-1.1857250481843948
606,defeated,upset,-0.3048994541168213
607,defense,protection,-0.34635472297668457
608,defensive,nazi,-1.035852536559105
609,degree,quantity,-0.5840843915939331
610,degree,style,-0.42501896619796753
611,delaware,wine,-0.8196638971567154
612,demand,demand,-0.0
613,demand,request,-0.8922391384840012
614,demand,supply,-0.17944002151489258
615,demolition,skyline,-0.501412570476532
616,demolition,skyscraper,-0.35434937477111816
617,department,division,-0.46713584661483765
618,depression,depression,-0.0
619,descent,fall,-0.7379260659217834
620,desert,mountain,-0.03411966562271118
621,desert,scenery,-0.2827730178833008
622,desert,smoke,-0.33959585428237915
623,deserve,expect,-0.2858978509902954
624,deserve,merit,-0.2078726887702942
625,deserve,want,-0.27441567182540894
626,design,muscle,-0.7069729566574097
627,designation,recognition,-0.15660810470581055
628,desk,suspension,-0.696959912776947
629,dessert,eye,-0.7242722809314728
630,dessert,fruit,-0.053298890590667725
631,dessert,lunch,-0.11750245094299316
632,dessert,orange,-0.3233705759048462
633,dessert,pepper,-0.19913679361343384
634,destroy,disassembled,-0.604474663734436
635,develop,foundation,-0.42774301767349243
636,device,drum,-0.3611701726913452
637,devil,satan,-0.17174941301345825
638,dew,misty,-0.24671417474746704
639,dew,rain,-0.44003498554229736
640,die,played,-0.8040990233421326
641,dignity,integration,-0.20867878198623657
642,diluted,weak,-0.3338293433189392
643,diner,eat,-0.39542293548583984
644,diner,kitchen,-0.20977437496185303
645,dinner,eat,-0.2437114715576172
646,dinner,lunch,-0.012380003929138184
647,dinner,night,-0.5461965501308441
648,direction,government,-0.5433674454689026
649,dirt,racing,-0.5627728700637817
650,dirt,road,-0.2956327795982361
651,dirt,sand,-0.034767091274261475
652,dirty,feel,-0.42681384086608887
653,dirty,fun,-0.3861711621284485
654,dirty,rusty,-0.30007946491241455
655,discipline,science,-0.48363906145095825
656,discipline,system,-0.39093661308288574
657,disease,plague,-0.13688111305236816
658,distance,distribution,-0.6911138594150543
659,distinguish,promise,-0.506772369146347
660,distinguish,sex,-0.30359262228012085
661,distribute,research,-0.5716520249843597
662,distributed,spread,-0.7522443979978561
663,divide,split,-0.3461076617240906
664,division,lincoln,-0.6497228145599365
665,doctor,liability,-0.7247961759567261
666,document,resolution,-0.17987191677093506
667,dog,fauna,-0.6002927422523499
668,dog,pug,-0.10434073209762573
669,dog,puppy,-0.04620826244354248
670,dollar,yen,-0.018579483032226562
671,domain,land,-0.41887813806533813
672,dome,uniform,-0.702235072851181
673,doodle,scratch,-0.3635784983634949
674,door,interior,-0.5557040870189667
675,door,kitchen,-0.2526557445526123
676,door,porch,-0.14363765716552734
677,door,room,-0.19864904880523682
678,door,wall,-0.20900440216064453
679,door,window,-0.04218941926956177
680,doubt,ego,-0.26469939947128296
681,down,flush,-0.281399667263031
682,downtown,shopping,-0.2302781343460083
683,downtown,shore,-0.2646350860595703
684,downtown,skyscraper,-0.26683932542800903
685,dragon,drop,-0.758655771613121
686,dragon,metal,-0.6042158901691437
687,dragonfly,pond,-0.23023128509521484
688,drain,tap,-0.37167924642562866
689,drawing,music,-0.37753039598464966
690,dress,wear,-0.05780297517776489
691,dressing,sauce,-0.07366025447845459
692,drink,murder,-0.8321935683488846
693,drink,turn,-0.6358172595500946
694,dripping,puddle,-0.11234021186828613
695,drive,impulse,-0.5604563355445862
696,drive,mechanism,-0.5546772181987762
697,drive,operate,-0.39181411266326904
698,drop,hanging,-0.7547176480293274
699,drug,operator,-0.5730401277542114
700,drug,reflection,-0.6671916544437408
701,duck,mallard,-0.2946612238883972
702,duck,outfit,-0.5739268958568573
703,dude,feel,-0.306984543800354
704,dude,friend,-0.3741533160209656
705,dude,sexy,-0.259010374546051
706,dude,stop,-0.4359081983566284
707,dusk,misty,-0.08732873201370239
708,dusk,skirt,-0.5803261995315552
709,earn,make,-0.5026101469993591
710,east,israel,-0.560402899980545
711,easter,preference,-0.6428755223751068
712,eat,eat,-0.0
713,eat,fruit,-0.20938217639923096
714,eat,rabbit,-0.2486346960067749
715,eat,truck,-0.878914400935173
716,edit,issue,-0.5922510027885437
717,edition,issue,-0.7384516000747681
718,educated,learned,-0.447676420211792
719,education,education,-0.0
720,egg,family,-0.7876736521720886
721,egg,lego,-0.8203796297311783
722,eight,movement,-0.9964665069710463
723,electronics,guess,-1.0308324806392193
724,element,mixture,-0.7249127924442291
725,element,nickel,-0.8006095588207245
726,eliminate,eliminate,-0.0
727,emergency,temp,-0.29771775007247925
728,emission,gum,-0.6469473838806152
729,empty,evacuated,-0.507475346326828
730,end,terminate,-0.5270424485206604
731,energy,force,-0.5020891726016998
732,enforcing,execute,-0.2561565041542053
733,engineering,technology,-0.06443488597869873
734,enhanced,increased,-0.5205604732036591
735,environment,land,-0.49384087324142456
736,equipment,rescue,-0.5771604478359222
737,escalator,railway,-0.32389289140701294
738,establishment,institution,-0.14357346296310425
739,evaluate,terminate,-0.164389967918396
740,evidence,identification,-0.1608181595802307
741,evidence,record,-1.0489412806928158
742,evolution,publicity,-0.33995288610458374
743,examination,study,-0.1133338212966919
744,example,specimen,-0.4144937992095947
745,exclude,lack,-0.30939561128616333
746,exhibit,parade,-0.3176182508468628
747,exhibition,museum,-0.25388073921203613
748,exhibition,soup,-0.9945235708728433
749,expanse,sheet,-0.6024808883666992
750,expect,think,-0.46353238821029663
751,expectation,possibility,-0.43738222122192383
752,experience,inexperience,-0.21978801488876343
753,explain,swear,-0.3883935213088989
754,explanation,theory,-0.2614557147026062
755,explosion,stencil,-0.7693836390972137
756,express,mail,-0.5787144303321838
757,eye,lip,-0.09722346067428589
758,eye,tear,-0.43908703327178955
759,fabric,photo,-0.7501882463693619
760,fabric,sail,-0.915209487080574
